Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C17, C2, C3, C4, C5, C6, C7, C8",402,11,0.1uF,
"C12, C9",402,2,1uF,
"C13, C14",603,2,10uF,
"C15, C16",402,2,33pF,
C18,402,1,100nF,
D1,603,1,LED,
D2,603,1,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1, R2",402,2,5.1 K,
R11,402,1,100K,
"R3, R4",402,2,27,
R5,402,1,1 K,
R6,402,1,1K,
R7,402,1,10 K,
R8,402,1,330,
R9,402,1,470,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q128JVS,
U3,SOT-23,1,MCP1700x-330xxTT,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,